Membership No  Date Joined  Active  
    15014      2016-3-17    no    
    28987      2017-9-4     no    
    73172      2017-6-6     no    
    25226      2020-11-10   yes   
    16733      2016-11-15   no    
    41871      2019-1-15    no    
    46986      2018-7-13    no    
    14707      2020-1-12    yes   
    10425      2015-12-17   yes   
    96105      2017-8-9     yes   
    87773      2017-12-5    no    
    80086      2020-4-22    yes   
    55037      2016-6-20    no    
    60091      2020-11-25   yes   
    46914      2020-2-21    no    
    15267      2015-1-21    yes   
    51264      2020-2-19    no    
    97564      2019-5-18    no    
    68891      2018-2-23    no    
    95587      2015-3-16    no    
