Membership No  Date Joined  Active  
    80386      2017-1-19    no    
    75025      2016-2-21    no    
    81017      2016-7-11    no    
    86683      2017-6-13    no    
    26726      2016-4-23    no    
    42563      2019-3-13    no    
    22112      2020-4-21    no    
    80084      2017-10-25   no    
    38014      2017-12-19   no    
    64030      2020-2-15    no    
    65049      2017-6-5     no    
    15711      2015-9-14    no    
    40412      2017-1-2     no    
    32498      2020-12-5    no    
    82559      2015-4-4     no    
