Membership No  Date Joined  Active  
    78132      2018-4-13    no    
    35432      2015-10-4    no    
    73932      2018-5-18    no    
    72858      2020-4-23    no    
    22470      2017-8-12    no    
    89216      2016-2-11    no    
    39934      2019-11-24   no    
    46080      2015-12-14   no    
    83380      2020-11-1    no    
    74357      2019-10-4    no    
    97920      2018-10-15   no    
    78327      2018-12-19   no    
    57840      2017-4-18    no    
    55344      2017-9-20    no    
